"filename", "language", "Markdown", "Docker", "Python", "reStructuredText", "YAML", "pip requirements", "Shell Script", "JSON", "Makefile", "comment", "blank", "total"
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\standalone\worker.py", "Python", 0, 0, 111, 0, 0, 0, 0, 0, 0, 33, 37, 181
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\__init__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\aliyun_oss\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\aliyun_oss\aliyun_oss.py", "Python", 0, 0, 122, 0, 0, 0, 0, 0, 0, 91, 36, 249
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\aliyun_oss\config.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 16, 9, 43
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\aws_s3\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 15, 2, 18
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\aws_s3\aws_s3.py", "Python", 0, 0, 194, 0, 0, 0, 0, 0, 0, 33, 25, 252
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\aws_s3\config.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 16, 12, 50
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\azure_storage\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\azure_storage\azure_storage.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 0, 87, 23, 223
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\azure_storage\config.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 15, 6, 31
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\ceph\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\ceph\ceph.py", "Python", 0, 0, 162, 0, 0, 0, 0, 0, 0, 89, 26, 277
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\ceph\config.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 15, 8, 35
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\gcp_storage\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\gcp_storage\config.py", "Python", 0, 0, 11, 0, 0, 0, 0, 0, 0, 15, 7, 33
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\gcp_storage\gcp_storage.py", "Python", 0, 0, 130, 0, 0, 0, 0, 0, 0, 34, 24, 188
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\gcsfs\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\gcsfs\config.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 15, 6, 31
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\gcsfs\gcsfs.py", "Python", 0, 0, 83, 0, 0, 0, 0, 0, 0, 75, 17, 175
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\ibm_cos\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\ibm_cos\config.py", "Python", 0, 0, 57, 0, 0, 0, 0, 0, 0, 17, 19, 93
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\ibm_cos\ibm_cos.py", "Python", 0, 0, 193, 0, 0, 0, 0, 0, 0, 89, 33, 315
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\infinispan\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\infinispan\config.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\infinispan\infinispan.py", "Python", 0, 0, 148, 0, 0, 0, 0, 0, 0, 90, 26, 264
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\infinispan_hotrod\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\infinispan_hotrod\config.py", "Python", 0, 0, 9, 0, 0, 0, 0, 0, 0, 15, 6, 30
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\infinispan_hotrod\infinispan_hotrod.py", "Python", 0, 0, 133, 0, 0, 0, 0, 0, 0, 85, 21, 239
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\localhost\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\localhost\config.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 15, 4, 23
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\localhost\localhost.py", "Python", 0, 0, 143, 0, 0, 0, 0, 0, 0, 90, 34, 267
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\minio\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\minio\config.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 15, 7, 34
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\minio\minio.py", "Python", 0, 0, 162, 0, 0, 0, 0, 0, 0, 89, 26, 277
"c:\Users\asus\Desktop\ADSL\lithops-master\lithops\storage\backends\redis\__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
